,mixed,sample_name,1_count_neighbours,1_mean,1_sd,1_percentile_5,1_percentile_25,1_percentile_50,1_percentile_75,1_percentile_95,1_neighbours_snp_0,1_neighbours_snp_1,1_neighbours_snp_2,1_neighbours_snp_3,1_neighbours_snp_4,1_neighbours_snp_5,1_neighbours_snp_6,1_neighbours_snp_7,1_neighbours_snp_8,1_neighbours_snp_9,1_neighbours_snp_10,1_neighbours_snp_11,1_neighbours_snp_12,1_neighbours_snp_13,1_neighbours_snp_14,1_neighbours_snp_15,2_count_neighbour_matrix,2_mean,2_sd,2_percentile_5,2_percentile_25,2_percentile_50,2_percentile_75,2_percentile_95,2_neighbours_snp_0,2_neighbours_snp_1,2_neighbours_snp_2,2_neighbours_snp_3,2_neighbours_snp_4,2_neighbours_snp_5,2_neighbours_snp_6,2_neighbours_snp_7,2_neighbours_snp_8,2_neighbours_snp_9,2_neighbours_snp_10,2_neighbours_snp_11,2_neighbours_snp_12,2_neighbours_snp_13,2_neighbours_snp_14,2_neighbours_snp_15,2_sample_vertex_betweenness
0,False,820:14-11-2020:1,85,1.423529411764706,1.1789469735261864,0.0,0.0,2.0,2.0,3.0,28.0,13.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3655,1.8199726402188783,1.7738554669538447,0.0,0.0,1.0,3.0,5.0,1217.0,661.0,568.0,469.0,361.0,270.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,False,309:03-08-2020:0,31,2.225806451612903,0.8835412617927487,0.0,2.0,2.0,3.0,3.0,3.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496,1.159274193548387,1.3412020379063687,0.0,0.0,1.0,2.0,5.0,176.0,184.0,83.0,26.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,False,508:19-01-2021:0,36,1.3611111111111112,1.312636992094872,0.0,0.0,1.0,3.0,3.0,15.0,4.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666,1.7462462462462462,1.854121852260795,0.0,0.0,1.0,3.0,5.75,260.0,93.0,99.0,96.0,40.0,44.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,False,899:31-01-2021:1,18,1.9444444444444444,0.9375953110592338,0.8500000000000001,1.0,2.0,3.0,3.0,1.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,1.0292397660818713,0.9605568273895361,0.0,0.0,1.0,2.0,3.0,64.0,50.0,45.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,False,172:19-12-2020:0,6,2.6666666666666665,0.816496580927726,1.5,3.0,3.0,3.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2.0952380952380953,0.7003400534570263,1.0,2.0,2.0,2.0,3.0,1.0,1.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
7,False,261:31-03-2021:0,14,2.0,0.6793662204867574,1.0,2.0,2.0,2.0,3.0,0.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,1.7904761904761906,0.9061248650502154,0.0,1.0,2.0,2.0,3.0,7.0,33.0,42.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
8,False,380:09-11-2020:0,39,1.4102564102564104,1.4089553561704897,0.0,0.0,1.0,3.0,3.0,17.0,5.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780,1.1141025641025641,1.8279125463257917,0.0,0.0,0.0,2.0,5.0499999999999545,517.0,55.0,24.0,64.0,65.0,16.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,True,848+421,147,1.1360544217687074,1.120417337743671,0.0,0.0,1.0,2.0,3.0,64.0,18.0,46.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10878,4.649751792608935,3.5006081023870865,0.0,2.0,4.0,7.0,11.0,1505.0,883.0,1246.0,1082.0,929.0,1048.0,944.0,920.0,608.0,539.0,461.0,302.0,213.0,114.0,56.0,20.0,0.7852061020100107
10,False,667:16-02-2021:0,11,2.4545454545454546,0.5222329678670935,2.0,2.0,2.0,3.0,3.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,1.803030303030303,1.0261158574516587,0.0,1.0,2.0,3.0,3.0,9.0,15.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
11,False,297:03-09-2020:0,3,1.3333333333333333,1.5275252316519468,0.1,0.5,1.0,2.0,2.8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.0,1.5491933384829668,0.25,1.0,2.0,3.0,3.75,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
12,False,284:17-02-2021:0,19,1.3157894736842106,0.9459053029269173,0.0,1.0,1.0,2.0,3.0,4.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,1.0052631578947369,0.9893473259880529,0.0,0.0,1.0,2.0,3.0,73.0,61.0,39.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,False,179:07-02-2021:0,20,2.1,0.6407232755171874,1.9000000000000001,2.0,2.0,2.0,3.0,1.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,0.3333333333333333,0.6940163486438976,0.0,0.0,0.0,0.0,2.0,163.0,28.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,False,100:06-05-2021:0,11,2.272727272727273,1.009049958219026,0.5,2.0,3.0,3.0,3.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0.696969696969697,1.0223607216738353,0.0,0.0,0.0,1.0,3.0,41.0,10.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,False,537:23-09-2020:0,8,1.125,0.9910312089651149,0.0,0.75,1.0,1.25,2.6499999999999995,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.7777777777777778,0.9292427365828928,0.0,0.0,0.5,1.0,2.25,18.0,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,False,612:10-06-2021:0,3,2.3333333333333335,0.5773502691896257,2.0,2.0,2.0,2.5,2.9,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.3333333333333333,1.2110601416389968,0.0,0.25,1.5,2.0,2.75,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,False,723:12-12-2020:0,5,2.6,0.8944271909999159,1.4000000000000001,3.0,3.0,3.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.8,1.082325538564332,0.0,1.5,2.0,2.5,3.0,3.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
20,False,624:02-06-2020:0,6,1.5,1.0488088481701516,0.25,1.0,1.5,2.0,2.75,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.619047619047619,0.9206622874969125,0.0,1.0,2.0,2.0,3.0,2.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
21,False,758:01-05-2021:1,4,1.75,1.5,0.15000000000000002,0.75,2.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.0,1.0540925533894598,0.45,1.25,2.0,3.0,3.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
23,False,341:02-10-2020:0,8,0.5,0.7559289460184544,0.0,0.0,0.0,1.0,1.6499999999999995,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.7777777777777778,0.9292427365828928,0.0,0.0,0.5,1.0,2.25,18.0,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,False,99:21-03-2021:0,18,2.3333333333333335,0.8401680504168059,1.0,2.0,3.0,3.0,3.0,0.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,2.2923976608187133,1.1666445523482754,0.0,1.0,2.0,3.0,4.0,10.0,34.0,57.0,36.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
25,False,182:18-01-2021:0,7,2.142857142857143,0.6900655593423543,1.3,2.0,2.0,2.5,3.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1.1785714285714286,0.8629652337776966,0.0,1.0,1.0,2.0,2.6499999999999986,6.0,13.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
26,False,330:15-12-2020:0,5,2.4,0.8944271909999159,1.2000000000000002,2.0,3.0,3.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.2,1.2649110640673518,0.0,1.5,2.0,3.0,4.0,2.0,2.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,False,359:26-01-2021:0,13,2.076923076923077,0.75955452531275,1.2000000000000002,2.0,2.0,2.0,3.0,1.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,0.6923076923076923,1.0294799948658837,0.0,0.0,0.0,2.0,3.0,60.0,5.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
